Round,Accuracy,Loss,Precision,Recall,F1-Score,Communication_Cost,Class_0_Accuracy,Class_1_Accuracy,Class_2_Accuracy,Class_3_Accuracy,Class_4_Accuracy,Class_5_Accuracy,Class_6_Accuracy,Class_7_Accuracy,Confusion_Matrix
76,76.98598131,0.588510079,0.771282245,0.778992139,0.71762591,2769428298,80.32786885,97.43589744,55.48387097,13.79310345,96.72131148,86.01398601,96.3963964,97.0212766,"[[98, 1, 0, 2, 11, 10, 0, 0], [3, 304, 0, 1, 0, 0, 3, 1], [2, 0, 86, 0, 50, 4, 5, 8], [44, 1, 2, 40, 52, 126, 25, 0], [4, 0, 0, 0, 118, 0, 0, 0], [15, 0, 1, 2, 1, 123, 1, 0], [1, 4, 0, 1, 5, 1, 321, 0], [0, 0, 6, 0, 1, 0, 0, 228]]"
77,58.82009346,1.066189508,0.700481585,0.63487114,0.55265319,2798097328,91.80327869,99.03846154,43.87096774,3.793103448,78.68852459,68.53146853,26.42642643,95.74468085,"[[112, 4, 0, 0, 3, 3, 0, 0], [2, 309, 0, 0, 0, 0, 1, 0], [7, 0, 68, 0, 65, 4, 5, 6], [142, 24, 1, 11, 13, 92, 7, 0], [26, 0, 0, 0, 96, 0, 0, 0], [42, 2, 1, 0, 0, 98, 0, 0], [3, 239, 0, 0, 3, 0, 88, 0], [0, 0, 9, 0, 1, 0, 0, 225]]"
78,73.13084112,0.656659189,0.663770775,0.641273263,0.602034964,2832500164,0,84.93589744,58.70967742,74.82758621,95.90163934,2.097902098,99.0990991,97.44680851,"[[0, 1, 0, 104, 16, 0, 1, 0], [3, 265, 0, 10, 2, 0, 32, 0], [0, 0, 91, 10, 32, 0, 14, 8], [0, 0, 0, 217, 27, 2, 44, 0], [0, 0, 1, 4, 117, 0, 0, 0], [0, 0, 1, 137, 0, 3, 2, 0], [0, 0, 0, 2, 1, 0, 330, 0], [0, 0, 6, 0, 0, 0, 0, 229]]"
79,67.34813084,0.76265049,0.681870651,0.683421748,0.628598068,2861169194,94.26229508,93.26923077,40,10.68965517,75.40983607,62.93706294,73.57357357,96.59574468,"[[115, 1, 0, 2, 3, 1, 0, 0], [17, 291, 0, 0, 0, 2, 2, 0], [7, 0, 62, 4, 59, 8, 8, 7], [138, 0, 0, 31, 10, 106, 5, 0], [27, 0, 0, 3, 92, 0, 0, 0], [50, 0, 0, 3, 0, 90, 0, 0], [12, 44, 0, 19, 2, 11, 245, 0], [0, 0, 7, 0, 1, 0, 0, 227]]"
80,80.37383178,0.5003014,0.792339265,0.763847032,0.755677879,2895572030,30.32786885,98.3974359,76.77419355,56.20689655,88.52459016,69.23076923,94.59459459,97.0212766,"[[37, 1, 0, 61, 17, 6, 0, 0], [1, 307, 0, 1, 1, 0, 2, 0], [0, 0, 119, 6, 14, 4, 5, 7], [3, 1, 8, 163, 29, 68, 18, 0], [0, 0, 9, 5, 108, 0, 0, 0], [0, 0, 2, 42, 0, 99, 0, 0], [0, 8, 2, 4, 4, 0, 315, 0], [0, 0, 7, 0, 0, 0, 0, 228]]"
81,82.00934579,0.502309888,0.788651117,0.809455604,0.796192759,2929974866,79.50819672,99.03846154,80,54.82758621,84.42622951,67.13286713,88.58858859,94.04255319,"[[97, 1, 0, 15, 5, 4, 0, 0], [1, 309, 0, 1, 0, 0, 1, 0], [2, 0, 124, 8, 12, 4, 2, 3], [37, 3, 8, 159, 14, 61, 8, 0], [4, 0, 10, 5, 103, 0, 0, 0], [7, 0, 1, 39, 0, 96, 0, 0], [1, 23, 3, 9, 2, 0, 295, 0], [0, 0, 14, 0, 0, 0, 0, 221]]"
82,79.55607477,0.50600471,0.805399568,0.725048689,0.729683718,2972978411,67.21311475,97.11538462,64.51612903,86.20689655,68.03278689,8.391608392,90.69069069,97.87234043,"[[82, 1, 0, 36, 3, 0, 0, 0], [7, 303, 0, 1, 0, 0, 1, 0], [0, 0, 100, 22, 13, 0, 7, 13], [15, 0, 1, 250, 6, 7, 11, 0], [5, 0, 3, 31, 83, 0, 0, 0], [1, 0, 1, 129, 0, 12, 0, 0], [0, 8, 0, 23, 0, 0, 302, 0], [0, 0, 5, 0, 0, 0, 0, 230]]"
83,77.3364486,0.571215373,0.775996582,0.785354005,0.726420371,3013115053,91.80327869,97.11538462,60.64516129,14.82758621,91.80327869,79.02097902,95.1951952,97.87234043,"[[112, 1, 0, 0, 5, 3, 1, 0], [5, 303, 0, 1, 0, 0, 3, 0], [4, 0, 94, 2, 32, 4, 10, 9], [103, 0, 3, 43, 24, 94, 23, 0], [10, 0, 0, 0, 112, 0, 0, 0], [26, 0, 1, 2, 0, 113, 1, 0], [5, 7, 0, 1, 2, 1, 317, 0], [0, 0, 5, 0, 0, 0, 0, 230]]"
84,82.35981308,0.471748454,0.792629412,0.805212201,0.794171912,3056118598,77.04918033,98.07692308,69.03225806,58.27586207,90.98360656,61.53846154,92.19219219,97.0212766,"[[94, 1, 0, 18, 8, 1, 0, 0], [4, 306, 0, 1, 0, 0, 1, 0], [1, 0, 107, 8, 22, 4, 5, 8], [36, 1, 4, 169, 21, 47, 12, 0], [4, 0, 3, 4, 111, 0, 0, 0], [6, 0, 1, 48, 0, 88, 0, 0], [3, 11, 0, 9, 3, 0, 307, 0], [0, 0, 7, 0, 0, 0, 0, 228]]"
85,77.21962617,0.60637996,0.801698792,0.784276944,0.727519741,3090521434,61.47540984,97.75641026,73.5483871,8.275862069,96.72131148,97.2027972,96.6966967,95.74468085,"[[75, 1, 0, 0, 8, 37, 1, 0], [2, 305, 0, 1, 0, 0, 4, 0], [0, 0, 114, 0, 24, 9, 5, 3], [10, 2, 8, 24, 36, 183, 27, 0], [1, 0, 3, 0, 118, 0, 0, 0], [2, 0, 2, 0, 0, 139, 0, 0], [0, 5, 0, 2, 3, 1, 322, 0], [0, 0, 10, 0, 0, 0, 0, 225]]"
86,76.22663551,0.634425235,0.685776312,0.728577766,0.695712951,3122057367,86.06557377,98.07692308,72.90322581,73.44827586,84.42622951,0,71.77177177,96.17021277,"[[105, 1, 0, 12, 4, 0, 0, 0], [4, 306, 0, 1, 0, 0, 1, 0], [2, 0, 113, 15, 21, 0, 1, 3], [54, 1, 2, 213, 14, 1, 5, 0], [12, 0, 1, 6, 103, 0, 0, 0], [11, 0, 1, 131, 0, 0, 0, 0], [4, 55, 0, 35, 0, 0, 239, 0], [0, 0, 9, 0, 0, 0, 0, 226]]"
87,76.69392523,0.574952833,0.803419266,0.77510608,0.729207585,3156460203,67.21311475,96.15384615,69.03225806,10,86.06557377,97.9020979,96.6966967,97.0212766,"[[82, 1, 0, 0, 6, 32, 1, 0], [7, 300, 0, 0, 0, 1, 3, 1], [0, 0, 107, 1, 16, 11, 12, 8], [13, 0, 3, 29, 17, 209, 19, 0], [3, 0, 7, 2, 105, 5, 0, 0], [1, 0, 1, 0, 0, 140, 1, 0], [0, 3, 0, 1, 1, 6, 322, 0], [0, 0, 7, 0, 0, 0, 0, 228]]"
88,77.7453271,0.57350344,0.736529397,0.778356957,0.729164072,3185129233,86.06557377,98.3974359,71.61290323,21.37931034,97.54098361,53.84615385,96.3963964,97.44680851,"[[105, 1, 0, 0, 13, 3, 0, 0], [1, 307, 0, 1, 0, 0, 3, 0], [1, 0, 111, 1, 29, 2, 3, 8], [57, 3, 14, 62, 70, 61, 23, 0], [2, 0, 1, 0, 119, 0, 0, 0], [23, 0, 5, 31, 6, 77, 1, 0], [1, 4, 0, 1, 6, 0, 321, 0], [0, 0, 6, 0, 0, 0, 0, 229]]"
89,78.79672897,0.529643202,0.799945478,0.732530391,0.729073361,3216665166,17.21311475,97.11538462,80,56.55172414,59.83606557,83.21678322,95.4954955,96.59574468,"[[21, 1, 0, 67, 3, 30, 0, 0], [4, 303, 0, 1, 0, 0, 4, 0], [0, 0, 124, 13, 4, 5, 5, 4], [0, 1, 2, 164, 5, 103, 15, 0], [0, 0, 16, 33, 73, 0, 0, 0], [0, 0, 2, 22, 0, 119, 0, 0], [0, 3, 0, 12, 0, 0, 318, 0], [0, 0, 8, 0, 0, 0, 0, 227]]"
90,75.11682243,0.646502816,0.762700313,0.766889472,0.700357933,3253934905,71.31147541,94.23076923,58.70967742,7.931034483,99.18032787,91.60839161,93.09309309,97.44680851,"[[87, 1, 0, 1, 19, 14, 0, 0], [12, 294, 0, 1, 1, 0, 3, 1], [0, 0, 91, 0, 49, 4, 3, 8], [19, 0, 4, 23, 91, 143, 10, 0], [1, 0, 0, 0, 121, 0, 0, 0], [6, 0, 2, 2, 2, 131, 0, 0], [0, 1, 0, 3, 18, 1, 310, 0], [0, 0, 6, 0, 0, 0, 0, 229]]"
91,76.51869159,0.655064628,0.77815419,0.777246663,0.717562058,3285470838,77.04918033,98.71794872,67.74193548,4.827586207,90.98360656,89.51048951,98.4984985,94.46808511,"[[94, 7, 0, 1, 7, 10, 3, 0], [0, 308, 0, 0, 0, 0, 4, 0], [1, 0, 105, 0, 16, 8, 23, 2], [35, 9, 2, 14, 19, 125, 86, 0], [5, 0, 3, 0, 111, 0, 3, 0], [9, 0, 1, 1, 0, 128, 4, 0], [1, 4, 0, 0, 0, 0, 328, 0], [0, 0, 13, 0, 0, 0, 0, 222]]"
92,76.5771028,0.571872808,0.766692452,0.660272919,0.641106947,3317006771,2.459016393,97.11538462,80.64516129,93.10344828,67.21311475,2.097902098,90.69069069,94.89361702,"[[3, 0, 0, 112, 7, 0, 0, 0], [2, 303, 0, 3, 0, 0, 4, 0], [0, 0, 125, 22, 4, 0, 1, 3], [0, 1, 2, 270, 7, 3, 7, 0], [0, 0, 12, 28, 82, 0, 0, 0], [0, 0, 0, 140, 0, 3, 0, 0], [0, 2, 0, 29, 0, 0, 302, 0], [0, 0, 12, 0, 0, 0, 0, 223]]"
